id,effectiveTime,active,moduleId,conceptId,languageCode,typeId,term,caseSignificanceId
101013,20020131,1,900000000000207008,126813005,en,900000000000013009,Neoplasm of anterior aspect of epiglottis,900000000000020002
101013,20170731,1,900000000000207008,126813005,en,900000000000013009,Neoplasm of anterior aspect of epiglottis,900000000000448009
102018,20020131,1,900000000000207008,126814004,en,900000000000013009,Neoplasm of junctional region of epiglottis,900000000000020002
102018,20170731,1,900000000000207008,126814004,en,900000000000013009,Neoplasm of junctional region of epiglottis,900000000000448009
103011,20020131,1,900000000000207008,126815003,en,900000000000013009,Neoplasm of lateral wall of oropharynx,900000000000020002
103011,20170731,1,900000000000207008,126815003,en,900000000000013009,Neoplasm of lateral wall of oropharynx,900000000000448009
104017,20020131,1,900000000000207008,126816002,en,900000000000013009,Neoplasm of posterior wall of oropharynx,900000000000020002
104017,20170731,1,900000000000207008,126816002,en,900000000000013009,Neoplasm of posterior wall of oropharynx,900000000000448009
105016,20020131,1,900000000000207008,126817006,en,900000000000013009,Neoplasm of esophagus,900000000000020002
105016,20170731,1,900000000000207008,126817006,en,900000000000013009,Neoplasm of esophagus,900000000000448009
106015,20020131,1,900000000000207008,126818001,en,900000000000013009,Neoplasm of cervical esophagus,900000000000020002
106015,20170731,1,900000000000207008,126818001,en,900000000000013009,Neoplasm of cervical esophagus,900000000000448009
107012,20020131,1,900000000000207008,126819009,en,900000000000013009,Neoplasm of thoracic esophagus,900000000000020002
107012,20170731,1,900000000000207008,126819009,en,900000000000013009,Neoplasm of thoracic esophagus,900000000000448009
108019,20020131,1,900000000000207008,126820003,en,900000000000013009,Neoplasm of abdominal esophagus,900000000000020002
108019,20170731,1,900000000000207008,126820003,en,900000000000013009,Neoplasm of abdominal esophagus,900000000000448009
110017,20020131,1,900000000000207008,126822006,en,900000000000013009,Neoplasm of middle third of esophagus,900000000000020002
110017,20170731,1,900000000000207008,126822006,en,900000000000013009,Neoplasm of middle third of esophagus,900000000000448009
111018,20020131,1,900000000000207008,126823001,en,900000000000013009,Neoplasm of lower third of esophagus,900000000000020002
111018,20170731,1,900000000000207008,126823001,en,900000000000013009,Neoplasm of lower third of esophagus,900000000000448009
112013,20020131,1,900000000000207008,126824007,en,900000000000013009,Neoplasm of stomach,900000000000020002
112013,20170731,1,900000000000207008,126824007,en,900000000000013009,Neoplasm of stomach,900000000000448009
113015,20020131,1,900000000000207008,126825008,en,900000000000013009,Neoplasm of cardia of stomach,900000000000020002
113015,20170731,1,900000000000207008,126825008,en,900000000000013009,Neoplasm of cardia of stomach,900000000000448009
114014,20020131,1,900000000000207008,126826009,en,900000000000013009,Neoplasm of fundus of stomach,900000000000020002
114014,20170731,1,900000000000207008,126826009,en,900000000000013009,Neoplasm of fundus of stomach,900000000000448009
115010,20020131,1,900000000000207008,126827000,en,900000000000013009,Neoplasm of body of stomach,900000000000020002
115010,20170731,1,900000000000207008,126827000,en,900000000000013009,Neoplasm of body of stomach,900000000000448009
116011,20020131,1,900000000000207008,126828005,en,900000000000013009,Neoplasm of lesser curvature of stomach,900000000000020002
116011,20170731,1,900000000000207008,126828005,en,900000000000013009,Neoplasm of lesser curvature of stomach,900000000000448009
117019,20020131,1,900000000000207008,126829002,en,900000000000013009,Neoplasm of greater curvature of stomach,900000000000020002
117019,20170731,1,900000000000207008,126829002,en,900000000000013009,Neoplasm of greater curvature of stomach,900000000000448009
118012,20020131,1,900000000000207008,126830007,en,900000000000013009,Neoplasm of pyloric antrum,900000000000020002
118012,20170731,1,900000000000207008,126830007,en,900000000000013009,Neoplasm of pyloric antrum,900000000000448009
119016,20020131,1,900000000000207008,126831006,en,900000000000013009,Neoplasm of pylorus,900000000000020002
119016,20170731,1,900000000000207008,126831006,en,900000000000013009,Neoplasm of pylorus,900000000000448009
120010,20020131,1,900000000000207008,126832004,en,900000000000013009,Neoplasm of small intestine,900000000000020002
120010,20170731,1,900000000000207008,126832004,en,900000000000013009,Neoplasm of small intestine,900000000000448009
121014,20020131,1,900000000000207008,126833009,en,900000000000013009,Neoplasm of duodenum,900000000000020002
121014,20170731,1,900000000000207008,126833009,en,900000000000013009,Neoplasm of duodenum,900000000000448009
122019,20020131,1,900000000000207008,126834003,en,900000000000013009,Neoplasm of jejunum,900000000000020002
122019,20170731,1,900000000000207008,126834003,en,900000000000013009,Neoplasm of jejunum,900000000000448009
123012,20020131,1,900000000000207008,126835002,en,900000000000013009,Neoplasm of ileum,900000000000020002
123012,20170731,1,900000000000207008,126835002,en,900000000000013009,Neoplasm of ileum,900000000000448009
124018,20020131,1,900000000000207008,126836001,en,900000000000013009,Neoplasm of Meckel's diverticulum,900000000000020002
125017,20020131,1,900000000000207008,126837005,en,900000000000013009,Neoplasm of large intestine,900000000000020002
125017,20170731,1,900000000000207008,126837005,en,900000000000013009,Neoplasm of large intestine,900000000000448009
126016,20020131,1,900000000000207008,126838000,en,900000000000013009,Neoplasm of colon,900000000000020002
126016,20170731,1,900000000000207008,126838000,en,900000000000013009,Neoplasm of colon,900000000000448009
127013,20020131,1,900000000000207008,126839008,en,900000000000013009,Neoplasm of cecum,900000000000020002
127013,20170731,1,900000000000207008,126839008,en,900000000000013009,Neoplasm of cecum,900000000000448009
128015,20020131,1,900000000000207008,126840005,en,900000000000013009,Neoplasm of ascending colon,900000000000020002
128015,20170731,1,900000000000207008,126840005,en,900000000000013009,Neoplasm of ascending colon,900000000000448009
129011,20020131,1,900000000000207008,126841009,en,900000000000013009,Neoplasm of hepatic flexure of colon,900000000000020002
129011,20170731,1,900000000000207008,126841009,en,900000000000013009,Neoplasm of hepatic flexure of colon,900000000000448009
130018,20020131,1,900000000000207008,126842002,en,900000000000013009,Neoplasm of transverse colon,900000000000020002
130018,20170731,1,900000000000207008,126842002,en,900000000000013009,Neoplasm of transverse colon,900000000000448009
131019,20020131,1,900000000000207008,126843007,en,900000000000013009,Neoplasm of splenic flexure of colon,900000000000020002
131019,20170731,1,900000000000207008,126843007,en,900000000000013009,Neoplasm of splenic flexure of colon,900000000000448009
132014,20020131,1,900000000000207008,126844001,en,900000000000013009,Neoplasm of descending colon,900000000000020002
132014,20170731,1,900000000000207008,126844001,en,900000000000013009,Neoplasm of descending colon,900000000000448009
133016,20020131,1,900000000000207008,126845000,en,900000000000013009,Neoplasm of sigmoid colon,900000000000020002
133016,20170731,1,900000000000207008,126845000,en,900000000000013009,Neoplasm of sigmoid colon,900000000000448009
134010,20020131,1,900000000000207008,126846004,en,900000000000013009,Neoplasm of appendix,900000000000020002
134010,20170731,1,900000000000207008,126846004,en,900000000000013009,Neoplasm of appendix,900000000000448009
135011,20020131,1,900000000000207008,126847008,en,900000000000013009,Neoplasm of rectum,900000000000020002
135011,20170731,1,900000000000207008,126847008,en,900000000000013009,Neoplasm of rectum,900000000000448009
136012,20020131,1,900000000000207008,126848003,en,900000000000013009,Neoplasm of rectosigmoid junction,900000000000020002
136012,20170731,1,900000000000207008,126848003,en,900000000000013009,Neoplasm of rectosigmoid junction,900000000000448009
137015,20020131,1,900000000000207008,126849006,en,900000000000013009,Neoplasm of anus,900000000000020002
137015,20170731,1,900000000000207008,126849006,en,900000000000013009,Neoplasm of anus,900000000000448009
138013,20020131,1,900000000000207008,126850006,en,900000000000013009,Neoplasm of anal canal,900000000000020002
138013,20170731,1,900000000000207008,126850006,en,900000000000013009,Neoplasm of anal canal,900000000000448009
139017,20020131,1,900000000000207008,126851005,en,900000000000013009,Neoplasm of liver,900000000000020002
139017,20170731,1,900000000000207008,126851005,en,900000000000013009,Neoplasm of liver,900000000000448009
140015,20020131,1,900000000000207008,126852003,en,900000000000013009,Neoplasm of intrahepatic bile ducts,900000000000020002
140015,20170731,1,900000000000207008,126852003,en,900000000000013009,Neoplasm of intrahepatic bile ducts,900000000000448009
141016,20020131,1,900000000000207008,126853008,en,900000000000013009,Neoplasm of biliary tract,900000000000020002
141016,20170731,1,900000000000207008,126853008,en,900000000000013009,Neoplasm of biliary tract,900000000000448009
142011,20020131,1,900000000000207008,126854002,en,900000000000013009,Neoplasm of gallbladder,900000000000020002
142011,20170731,1,900000000000207008,126854002,en,900000000000013009,Neoplasm of gallbladder,900000000000448009
143018,20020131,1,900000000000207008,126855001,en,900000000000013009,Neoplasm of extrahepatic bile ducts,900000000000020002
143018,20170731,1,900000000000207008,126855001,en,900000000000013009,Neoplasm of extrahepatic bile ducts,900000000000448009
144012,20020131,1,900000000000207008,126856000,en,900000000000013009,Neoplasm of cystic duct,900000000000020002
144012,20170731,1,900000000000207008,126856000,en,900000000000013009,Neoplasm of cystic duct,900000000000448009
145013,20020131,1,900000000000207008,126857009,en,900000000000013009,Neoplasm of common bile duct,900000000000020002
145013,20170731,1,900000000000207008,126857009,en,900000000000013009,Neoplasm of common bile duct,900000000000448009
146014,20020131,1,900000000000207008,126858004,en,900000000000013009,Neoplasm of ampulla of Vater,900000000000020002
147017,20020131,1,900000000000207008,126859007,en,900000000000013009,Neoplasm of pancreas,900000000000020002
147017,20170731,1,900000000000207008,126859007,en,900000000000013009,Neoplasm of pancreas,900000000000448009
148010,20020131,1,900000000000207008,126860002,en,900000000000013009,Neoplasm of head of pancreas,900000000000020002
148010,20170731,1,900000000000207008,126860002,en,900000000000013009,Neoplasm of head of pancreas,900000000000448009
149019,20020131,1,900000000000207008,126861003,en,900000000000013009,Neoplasm of body of pancreas,900000000000020002
149019,20170731,1,900000000000207008,126861003,en,900000000000013009,Neoplasm of body of pancreas,900000000000448009
150019,20020131,1,900000000000207008,126862005,en,900000000000013009,Neoplasm of tail of pancreas,900000000000020002
150019,20170731,1,900000000000207008,126862005,en,900000000000013009,Neoplasm of tail of pancreas,900000000000448009
151015,20020131,1,900000000000207008,126863000,en,900000000000013009,Neoplasm of pancreatic duct,900000000000020002
151015,20170731,1,900000000000207008,126863000,en,900000000000013009,Neoplasm of pancreatic duct,900000000000448009
152010,20020131,1,900000000000207008,126864006,en,900000000000013009,Neoplasm of islets of Langerhans,900000000000020002
153017,20020131,1,900000000000207008,126865007,en,900000000000013009,Neoplasm of the peritoneum,900000000000020002
153017,20170731,1,900000000000207008,126865007,en,900000000000013009,Neoplasm of the peritoneum,900000000000448009
154011,20020131,1,900000000000207008,126866008,en,900000000000013009,Neoplasm of parietal peritoneum,900000000000020002
